/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:335: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론5 목적지43 |  986스텝 | 배송 43/43 | 재적재  7 | 중계율 0.11 | alpha 0.100 | complete
Ep 20 | 드론3 목적지48 |  900스텝 | 배송 48/48 | 재적재  8 | 중계율 0.19 | alpha 0.206 | complete
Ep 21 | 드론4 목적지63 |  730스텝 | 배송 63/63 | 재적재 11 | 중계율 0.24 | alpha 0.217 | complete
Ep 22 | 드론6 목적지46 |  369스텝 | 배송 46/46 | 재적재  6 | 중계율 0.23 | alpha 0.223 | complete
Ep 23 | 드론3 목적지44 | 1000스텝 | 배송 40/44 | 재적재  6 | 중계율 0.24 | alpha 0.240 | step_limit
Ep 24 | 드론5 목적지41 |  465스텝 | 배송 41/41 | 재적재  5 | 중계율 0.16 | alpha 0.248 | complete
Ep 25 | 드론5 목적지38 |  379스텝 | 배송 38/38 | 재적재  5 | 중계율 0.14 | alpha 0.255 | complete
Ep 26 | 드론5 목적지77 | 1000스텝 | 배송 75/77 | 재적재 14 | 중계율 0.19 | alpha 0.275 | step_limit
Ep 27 | 드론3 목적지41 |  605스텝 | 배송 11/41 | 재적재  0 | 중계율 0.23 | alpha 0.287 | no_progress
Ep 28 | 드론5 목적지52 |  612스텝 | 배송 52/52 | 재적재  8 | 중계율 0.27 | alpha 0.300 | complete
Ep 29 | 드론5 목적지72 |  944스텝 | 배송 72/72 | 재적재 11 | 중계율 0.26 | alpha 0.321 | complete
Ep 30 | 드론5 목적지61 |  742스텝 | 배송 61/61 | 재적재 10 | 중계율 0.21 | alpha 0.339 | complete
Ep 31 | 드론5 목적지45 |  590스텝 | 배송 45/45 | 재적재  7 | 중계율 0.15 | alpha 0.354 | complete
Ep 32 | 드론3 목적지68 | 1000스텝 | 배송 63/68 | 재적재 10 | 중계율 0.24 | alpha 0.381 | step_limit
Ep 33 | 드론3 목적지35 |  866스텝 | 배송 35/35 | 재적재  5 | 중계율 0.24 | alpha 0.406 | complete
Ep 34 | 드론3 목적지24 |  849스텝 | 배송 23/24 | 재적재  3 | 중계율 0.21 | alpha 0.432 | no_progress
Ep 35 | 드론3 목적지58 | 1000스텝 | 배송 55/58 | 재적재 11 | 중계율 0.23 | alpha 0.465 | step_limit
Ep 36 | 드론4 목적지64 | 1000스텝 | 배송 60/64 | 재적재 11 | 중계율 0.26 | alpha 0.500 | step_limit
Ep 37 | 드론6 목적지58 |  625스텝 | 배송 58/58 | 재적재  9 | 중계율 0.26 | alpha 0.524 | complete
Ep 38 | 드론3 목적지77 | 1000스텝 | 배송 59/77 | 재적재 10 | 중계율 0.29 | alpha 0.563 | step_limit
Ep 39 | 드론3 목적지28 |  721스텝 | 배송 28/28 | 재적재  4 | 중계율 0.31 | alpha 0.593 | complete
Ep 40 | 드론3 목적지37 |  751스텝 | 배송 37/37 | 재적재  6 | 중계율 0.22 | alpha 0.626 | complete
Ep 41 | 드론5 목적지59 |  969스텝 | 배송 59/59 | 재적재 10 | 중계율 0.13 | alpha 0.671 | complete
Ep 42 | 드론6 목적지58 |  459스텝 | 배송 58/58 | 재적재  9 | 중계율 0.17 | alpha 0.693 | complete
Ep 43 | 드론6 목적지20 |  250스텝 | 배송 20/20 | 재적재  0 | 중계율 0.10 | alpha 0.705 | complete
Ep 44 | 드론6 목적지30 |  287스텝 | 배송 30/30 | 재적재  3 | 중계율 0.10 | alpha 0.719 | complete
Ep 45 | 드론6 목적지39 |  436스텝 | 배송 39/39 | 재적재  6 | 중계율 0.20 | alpha 0.741 | complete
Ep 46 | 드론6 목적지32 |  293스텝 | 배송 32/32 | 재적재  4 | 중계율 0.14 | alpha 0.756 | complete
Ep 47 | 드론5 목적지35 |  654스텝 | 배송 35/35 | 재적재  4 | 중계율 0.17 | alpha 0.791 | complete
Ep 48 | 드론5 목적지39 |  475스텝 | 배송 39/39 | 재적재  6 | 중계율 0.15 | alpha 0.817 | complete
Ep 49 | 드론5 목적지47 |  758스텝 | 배송 47/47 | 재적재  8 | 중계율 0.17 | alpha 0.860 | complete
Ep 50 | 드론4 목적지72 | 1000스텝 | 배송 65/72 | 재적재 12 | 중계율 0.21 | alpha 0.921 | step_limit
  [홀드아웃] 배송 47.6±5.2 완주 0.65 스텝 1183 점수 71.1 재적재 7.7 2홉+ 0.64 | 최고 71.1@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지71 |  908스텝 | 배송 71/71 | 재적재 12 | 중계율 0.18 | alpha 0.980 | complete
Ep 52 | 드론4 목적지45 |  589스텝 | 배송 45/45 | 재적재  7 | 중계율 0.12 | alpha 1.019 | complete
Ep 53 | 드론6 목적지64 |  464스텝 | 배송 64/64 | 재적재 10 | 중계율 0.10 | alpha 1.052 | complete
Ep 54 | 드론5 목적지24 |  534스텝 | 배송 24/24 | 재적재  2 | 중계율 0.22 | alpha 1.090 | complete
Ep 55 | 드론6 목적지60 |  669스텝 | 배송 60/60 | 재적재 10 | 중계율 0.21 | alpha 1.139 | complete
Ep 56 | 드론6 목적지20 |  199스텝 | 배송 20/20 | 재적재  0 | 중계율 0.11 | alpha 1.154 | complete
Ep 57 | 드론5 목적지61 |  631스텝 | 배송 61/61 | 재적재  9 | 중계율 0.15 | alpha 1.201 | complete
Ep 58 | 드론5 목적지77 |  773스텝 | 배송 77/77 | 재적재 13 | 중계율 0.18 | alpha 1.262 | complete
Ep 59 | 드론5 목적지40 |  523스텝 | 배송 40/40 | 재적재  5 | 중계율 0.17 | alpha 1.303 | complete
Ep 60 | 드론3 목적지76 | 1000스텝 | 배송 59/76 | 재적재  9 | 중계율 0.16 | alpha 1.387 | step_limit
Ep 61 | 드론5 목적지66 |  679스텝 | 배송 66/66 | 재적재 10 | 중계율 0.17 | alpha 1.446 | complete
Ep 62 | 드론5 목적지43 |  383스텝 | 배송 43/43 | 재적재  7 | 중계율 0.12 | alpha 1.480 | complete
Ep 63 | 드론5 목적지57 |  593스텝 | 배송 57/57 | 재적재  9 | 중계율 0.15 | alpha 1.532 | complete
Ep 64 | 드론3 목적지52 | 1000스텝 | 배송 48/52 | 재적재  8 | 중계율 0.21 | alpha 1.623 | step_limit
Ep 65 | 드론5 목적지42 |  442스텝 | 배송 42/42 | 재적재  5 | 중계율 0.15 | alpha 1.663 | complete
Ep 66 | 드론4 목적지41 |  669스텝 | 배송 41/41 | 재적재  7 | 중계율 0.19 | alpha 1.722 | complete
Ep 67 | 드론5 목적지23 |  265스텝 | 배송 23/23 | 재적재  2 | 중계율 0.05 | alpha 1.745 | complete
Ep 68 | 드론5 목적지77 |  575스텝 | 배송 77/77 | 재적재 14 | 중계율 0.11 | alpha 1.795 | complete
Ep 69 | 드론4 목적지48 |  724스텝 | 배송 48/48 | 재적재  8 | 중계율 0.10 | alpha 1.852 | complete
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 50/69 | 재적재  8 | 중계율 0.23 | alpha 1.928 | step_limit
Ep 71 | 드론5 목적지34 |  462스텝 | 배송 34/34 | 재적재  4 | 중계율 0.13 | alpha 1.964 | complete
Ep 72 | 드론5 목적지61 | 1000스텝 | 배송 60/61 | 재적재 10 | 중계율 0.27 | alpha 2.043 | step_limit
Ep 73 | 드론6 목적지50 |  605스텝 | 배송 50/50 | 재적재  8 | 중계율 0.18 | alpha 2.087 | complete
Ep 74 | 드론4 목적지70 |  875스텝 | 배송 70/70 | 재적재 12 | 중계율 0.13 | alpha 2.148 | complete
Ep 75 | 드론6 목적지21 |  153스텝 | 배송 21/21 | 재적재  0 | 중계율 0.11 | alpha 2.158 | complete
Ep 76 | 드론3 목적지49 | 1000스텝 | 배송 44/49 | 재적재  7 | 중계율 0.20 | alpha 2.222 | step_limit
Ep 77 | 드론4 목적지67 | 1000스텝 | 배송 63/67 | 재적재 11 | 중계율 0.23 | alpha 2.284 | step_limit
Ep 78 | 드론3 목적지34 | 1000스텝 | 배송 30/34 | 재적재  5 | 중계율 0.15 | alpha 2.316 | step_limit
Ep 79 | 드론5 목적지31 |  615스텝 | 배송 31/31 | 재적재  4 | 중계율 0.14 | alpha 2.314 | complete
Ep 80 | 드론3 목적지44 | 1000스텝 | 배송 43/44 | 재적재  7 | 중계율 0.21 | alpha 2.307 | step_limit
Ep 81 | 드론6 목적지71 |  866스텝 | 배송 71/71 | 재적재 11 | 중계율 0.19 | alpha 2.287 | complete
Ep 82 | 드론4 목적지59 | 1000스텝 | 배송 57/59 | 재적재 10 | 중계율 0.15 | alpha 2.255 | step_limit
Ep 83 | 드론6 목적지21 |  147스텝 | 배송 21/21 | 재적재  1 | 중계율 0.11 | alpha 2.250 | complete
Ep 84 | 드론4 목적지41 |  613스텝 | 배송 41/41 | 재적재  7 | 중계율 0.17 | alpha 2.225 | complete
Ep 85 | 드론5 목적지38 |  561스텝 | 배송 38/38 | 재적재  5 | 중계율 0.20 | alpha 2.204 | complete
Ep 86 | 드론5 목적지64 |  635스텝 | 배송 64/64 | 재적재 10 | 중계율 0.13 | alpha 2.182 | complete
Ep 87 | 드론5 목적지24 |  516스텝 | 배송 24/24 | 재적재  2 | 중계율 0.23 | alpha 2.165 | complete
Ep 88 | 드론5 목적지66 |  870스텝 | 배송 66/66 | 재적재 11 | 중계율 0.14 | alpha 2.130 | complete
Ep 89 | 드론6 목적지20 |  243스텝 | 배송 20/20 | 재적재  0 | 중계율 0.15 | alpha 2.120 | complete
Ep 90 | 드론6 목적지37 |  289스텝 | 배송 37/37 | 재적재  6 | 중계율 0.07 | alpha 2.104 | complete
Ep 91 | 드론4 목적지60 | 1000스텝 | 배송 59/60 | 재적재 10 | 중계율 0.16 | alpha 2.036 | step_limit
Ep 92 | 드론3 목적지37 |  974스텝 | 배송 37/37 | 재적재  7 | 중계율 0.22 | alpha 2.020 | complete
Ep 93 | 드론4 목적지27 |  559스텝 | 배송 27/27 | 재적재  4 | 중계율 0.15 | alpha 2.018 | complete
Ep 94 | 드론4 목적지76 | 1000스텝 | 배송 75/76 | 재적재 12 | 중계율 0.15 | alpha 2.000 | step_limit
Ep 95 | 드론5 목적지30 |  403스텝 | 배송 30/30 | 재적재  4 | 중계율 0.15 | alpha 1.998 | complete
Ep 96 | 드론6 목적지34 |  380스텝 | 배송 34/34 | 재적재  4 | 중계율 0.23 | alpha 1.990 | complete
Ep 97 | 드론5 목적지35 |  532스텝 | 배송 35/35 | 재적재  5 | 중계율 0.16 | alpha 1.969 | complete
Ep 98 | 드론5 목적지39 |  408스텝 | 배송 39/39 | 재적재  6 | 중계율 0.12 | alpha 1.960 | complete
Ep 99 | 드론5 목적지69 | 1000스텝 | 배송 64/69 | 재적재 10 | 중계율 0.24 | alpha 1.984 | step_limit
Ep 100 | 드론6 목적지80 |  631스텝 | 배송 80/80 | 재적재 13 | 중계율 0.13 | alpha 2.000 | complete
  [홀드아웃] 배송 49.9±0.5 완주 0.93 스텝 1111 점수 98.8 재적재 8.1 2홉+ 0.64 | 최고 98.8@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지62 | 1000스텝 | 배송 56/62 | 재적재 10 | 중계율 0.18 | alpha 2.029 | step_limit
Ep 102 | 드론4 목적지30 |  397스텝 | 배송 30/30 | 재적재  4 | 중계율 0.13 | alpha 2.043 | complete
Ep 103 | 드론5 목적지75 | 1000스텝 | 배송 73/75 | 재적재 13 | 중계율 0.18 | alpha 2.058 | step_limit
Ep 104 | 드론4 목적지39 |  520스텝 | 배송 39/39 | 재적재  6 | 중계율 0.14 | alpha 2.069 | complete
Ep 105 | 드론5 목적지24 |  370스텝 | 배송 24/24 | 재적재  3 | 중계율 0.14 | alpha 2.096 | complete
Ep 106 | 드론5 목적지73 |  894스텝 | 배송 73/73 | 재적재 13 | 중계율 0.17 | alpha 2.098 | complete
Ep 107 | 드론5 목적지25 |  319스텝 | 배송 25/25 | 재적재  3 | 중계율 0.15 | alpha 2.109 | complete
Ep 108 | 드론3 목적지69 | 1000스텝 | 배송 53/69 | 재적재 10 | 중계율 0.21 | alpha 2.134 | step_limit
Ep 109 | 드론4 목적지25 |  283스텝 | 배송 25/25 | 재적재  4 | 중계율 0.10 | alpha 2.130 | complete
Ep 110 | 드론3 목적지26 | 1000스텝 | 배송 25/26 | 재적재  5 | 중계율 0.21 | alpha 2.099 | step_limit
Ep 111 | 드론3 목적지21 |  449스텝 | 배송 21/21 | 재적재  3 | 중계율 0.18 | alpha 2.089 | complete
Ep 112 | 드론6 목적지31 |  303스텝 | 배송 31/31 | 재적재  4 | 중계율 0.14 | alpha 2.072 | complete
Ep 113 | 드론4 목적지57 | 1000스텝 | 배송 44/57 | 재적재  7 | 중계율 0.22 | alpha 2.044 | step_limit
Ep 114 | 드론6 목적지64 |  787스텝 | 배송 64/64 | 재적재 12 | 중계율 0.23 | alpha 2.072 | complete
Ep 115 | 드론5 목적지57 |  562스텝 | 배송 57/57 | 재적재  9 | 중계율 0.13 | alpha 2.080 | complete
Ep 116 | 드론3 목적지78 | 1000스텝 | 배송 59/78 | 재적재 11 | 중계율 0.21 | alpha 2.051 | step_limit
Ep 117 | 드론6 목적지76 |  786스텝 | 배송 76/76 | 재적재 11 | 중계율 0.23 | alpha 2.063 | complete
Ep 118 | 드론3 목적지59 | 1000스텝 | 배송 57/59 | 재적재  9 | 중계율 0.17 | alpha 2.027 | step_limit
Ep 119 | 드론4 목적지73 | 1000스텝 | 배송 67/73 | 재적재 12 | 중계율 0.18 | alpha 2.006 | step_limit
Ep 120 | 드론4 목적지68 |  978스텝 | 배송 68/68 | 재적재 12 | 중계율 0.18 | alpha 2.018 | complete
Ep 121 | 드론6 목적지59 |  592스텝 | 배송 59/59 | 재적재  9 | 중계율 0.18 | alpha 2.030 | complete
Ep 122 | 드론6 목적지55 |  447스텝 | 배송 55/55 | 재적재  8 | 중계율 0.13 | alpha 2.032 | complete
Ep 123 | 드론4 목적지22 |  302스텝 | 배송 22/22 | 재적재  3 | 중계율 0.15 | alpha 2.032 | complete
Ep 124 | 드론3 목적지57 |  795스텝 | 배송 57/57 | 재적재  9 | 중계율 0.15 | alpha 2.019 | complete
Ep 125 | 드론3 목적지29 | 1000스텝 | 배송 27/29 | 재적재  5 | 중계율 0.22 | alpha 1.971 | step_limit
Ep 126 | 드론6 목적지80 |  640스텝 | 배송 80/80 | 재적재 13 | 중계율 0.16 | alpha 2.007 | complete
Ep 127 | 드론6 목적지23 |  276스텝 | 배송 23/23 | 재적재  1 | 중계율 0.20 | alpha 2.025 | complete
Ep 128 | 드론4 목적지75 | 1000스텝 | 배송 71/75 | 재적재 12 | 중계율 0.21 | alpha 1.987 | step_limit
Ep 129 | 드론5 목적지31 |  556스텝 | 배송 31/31 | 재적재  4 | 중계율 0.24 | alpha 1.991 | complete
Ep 130 | 드론5 목적지26 |  214스텝 | 배송 26/26 | 재적재  3 | 중계율 0.12 | alpha 1.983 | complete
Ep 131 | 드론6 목적지57 |  772스텝 | 배송 57/57 | 재적재  8 | 중계율 0.11 | alpha 1.959 | complete
Ep 132 | 드론4 목적지51 | 1000스텝 | 배송 46/51 | 재적재  7 | 중계율 0.28 | alpha 1.996 | step_limit
Ep 133 | 드론6 목적지36 |  338스텝 | 배송 36/36 | 재적재  5 | 중계율 0.19 | alpha 2.013 | complete
Ep 134 | 드론5 목적지49 |  935스텝 | 배송 49/49 | 재적재  8 | 중계율 0.21 | alpha 2.019 | complete
Ep 135 | 드론4 목적지56 | 1000스텝 | 배송 54/56 | 재적재  9 | 중계율 0.22 | alpha 1.995 | step_limit
Ep 136 | 드론3 목적지38 | 1000스텝 | 배송 34/38 | 재적재  6 | 중계율 0.20 | alpha 1.986 | step_limit
Ep 137 | 드론6 목적지37 |  342스텝 | 배송 37/37 | 재적재  5 | 중계율 0.14 | alpha 1.973 | complete
Ep 138 | 드론5 목적지68 |  680스텝 | 배송 68/68 | 재적재 12 | 중계율 0.18 | alpha 1.945 | complete
Ep 139 | 드론3 목적지63 | 1000스텝 | 배송 58/63 | 재적재 11 | 중계율 0.13 | alpha 1.912 | step_limit
Ep 140 | 드론6 목적지64 |  490스텝 | 배송 64/64 | 재적재 11 | 중계율 0.16 | alpha 1.903 | complete
Ep 141 | 드론4 목적지48 |  810스텝 | 배송 48/48 | 재적재  8 | 중계율 0.18 | alpha 1.904 | complete
Ep 142 | 드론5 목적지69 |  756스텝 | 배송 69/69 | 재적재 11 | 중계율 0.14 | alpha 1.876 | complete
Ep 143 | 드론3 목적지58 | 1000스텝 | 배송 51/58 | 재적재  9 | 중계율 0.19 | alpha 1.813 | step_limit
Ep 144 | 드론6 목적지55 |  533스텝 | 배송 55/55 | 재적재  9 | 중계율 0.18 | alpha 1.807 | complete
Ep 145 | 드론3 목적지39 | 1000스텝 | 배송 30/39 | 재적재  4 | 중계율 0.25 | alpha 1.799 | step_limit
Ep 146 | 드론3 목적지60 | 1000스텝 | 배송 58/60 | 재적재 10 | 중계율 0.12 | alpha 1.804 | step_limit
Ep 147 | 드론4 목적지44 |  747스텝 | 배송 44/44 | 재적재  7 | 중계율 0.14 | alpha 1.779 | complete
Ep 148 | 드론6 목적지50 |  652스텝 | 배송 50/50 | 재적재  8 | 중계율 0.20 | alpha 1.795 | complete
Ep 149 | 드론3 목적지36 |  761스텝 | 배송 36/36 | 재적재  6 | 중계율 0.12 | alpha 1.815 | complete
Ep 150 | 드론5 목적지78 | 1000스텝 | 배송 78/78 | 재적재 14 | 중계율 0.20 | alpha 1.844 | complete
  [홀드아웃] 배송 49.8±1.2 완주 0.97 스텝 1093 점수 103.9 재적재 8.1 2홉+ 0.64 | 최고 103.9@ep150 정체 0/15  ← 갱신
Ep 151 | 드론4 목적지64 |  779스텝 | 배송 64/64 | 재적재 11 | 중계율 0.08 | alpha 1.857 | complete
Ep 152 | 드론6 목적지21 |  153스텝 | 배송 21/21 | 재적재  0 | 중계율 0.06 | alpha 1.855 | complete
Ep 153 | 드론5 목적지76 |  895스텝 | 배송 76/76 | 재적재 14 | 중계율 0.14 | alpha 1.851 | complete
Ep 154 | 드론3 목적지40 |  779스텝 | 배송 40/40 | 재적재  7 | 중계율 0.15 | alpha 1.838 | complete
Ep 155 | 드론4 목적지64 |  951스텝 | 배송 64/64 | 재적재 10 | 중계율 0.15 | alpha 1.797 | complete
Ep 156 | 드론5 목적지50 |  774스텝 | 배송 50/50 | 재적재  8 | 중계율 0.20 | alpha 1.784 | complete
Ep 157 | 드론3 목적지56 |  930스텝 | 배송 56/56 | 재적재  9 | 중계율 0.12 | alpha 1.811 | complete
Ep 158 | 드론6 목적지67 |  671스텝 | 배송 67/67 | 재적재 10 | 중계율 0.16 | alpha 1.785 | complete
Ep 159 | 드론5 목적지78 |  705스텝 | 배송 78/78 | 재적재 12 | 중계율 0.09 | alpha 1.788 | complete
Ep 160 | 드론5 목적지23 |  436스텝 | 배송 23/23 | 재적재  3 | 중계율 0.23 | alpha 1.775 | complete
Ep 161 | 드론6 목적지73 |  828스텝 | 배송 73/73 | 재적재 12 | 중계율 0.16 | alpha 1.781 | complete
Ep 162 | 드론4 목적지49 |  689스텝 | 배송 49/49 | 재적재  8 | 중계율 0.14 | alpha 1.751 | complete
Ep 163 | 드론5 목적지36 |  430스텝 | 배송 36/36 | 재적재  5 | 중계율 0.15 | alpha 1.755 | complete
Ep 164 | 드론5 목적지54 |  657스텝 | 배송 54/54 | 재적재  9 | 중계율 0.11 | alpha 1.783 | complete
Ep 165 | 드론6 목적지47 |  358스텝 | 배송 47/47 | 재적재  5 | 중계율 0.16 | alpha 1.794 | complete
Ep 166 | 드론5 목적지63 |  675스텝 | 배송 63/63 | 재적재 10 | 중계율 0.18 | alpha 1.802 | complete
Ep 167 | 드론5 목적지38 |  372스텝 | 배송 38/38 | 재적재  5 | 중계율 0.16 | alpha 1.812 | complete
Ep 168 | 드론5 목적지44 |  511스텝 | 배송 44/44 | 재적재  6 | 중계율 0.18 | alpha 1.818 | complete
Ep 169 | 드론5 목적지45 |  559스텝 | 배송 45/45 | 재적재  7 | 중계율 0.17 | alpha 1.823 | complete
Ep 170 | 드론4 목적지78 | 1000스텝 | 배송 71/78 | 재적재 13 | 중계율 0.14 | alpha 1.832 | step_limit
Ep 171 | 드론5 목적지34 |  432스텝 | 배송 34/34 | 재적재  4 | 중계율 0.19 | alpha 1.825 | complete
Ep 172 | 드론4 목적지48 |  714스텝 | 배송 48/48 | 재적재  9 | 중계율 0.18 | alpha 1.808 | complete
Ep 173 | 드론4 목적지64 | 1000스텝 | 배송 46/64 | 재적재  7 | 중계율 0.30 | alpha 1.781 | step_limit
Ep 174 | 드론5 목적지38 |  436스텝 | 배송 38/38 | 재적재  6 | 중계율 0.11 | alpha 1.780 | complete
Ep 175 | 드론4 목적지56 | 1000스텝 | 배송 55/56 | 재적재  9 | 중계율 0.15 | alpha 1.737 | step_limit
Ep 176 | 드론3 목적지68 | 1000스텝 | 배송 55/68 | 재적재  9 | 중계율 0.22 | alpha 1.701 | step_limit
Ep 177 | 드론5 목적지74 |  834스텝 | 배송 74/74 | 재적재 13 | 중계율 0.16 | alpha 1.694 | complete
Ep 178 | 드론5 목적지37 |  587스텝 | 배송 37/37 | 재적재  5 | 중계율 0.17 | alpha 1.670 | complete
Ep 179 | 드론6 목적지48 |  560스텝 | 배송 48/48 | 재적재  6 | 중계율 0.17 | alpha 1.663 | complete
Ep 180 | 드론4 목적지61 |  895스텝 | 배송 61/61 | 재적재 11 | 중계율 0.15 | alpha 1.652 | complete
Ep 181 | 드론3 목적지80 | 1000스텝 | 배송 49/80 | 재적재  9 | 중계율 0.26 | alpha 1.629 | step_limit
Ep 182 | 드론5 목적지31 |  404스텝 | 배송 31/31 | 재적재  4 | 중계율 0.18 | alpha 1.636 | complete
Ep 183 | 드론4 목적지53 |  933스텝 | 배송 53/53 | 재적재  9 | 중계율 0.18 | alpha 1.632 | complete
Ep 184 | 드론4 목적지64 |  923스텝 | 배송 64/64 | 재적재 11 | 중계율 0.21 | alpha 1.657 | complete
Ep 185 | 드론3 목적지49 | 1000스텝 | 배송 48/49 | 재적재  8 | 중계율 0.16 | alpha 1.662 | step_limit
Ep 186 | 드론5 목적지47 |  516스텝 | 배송 47/47 | 재적재  8 | 중계율 0.17 | alpha 1.654 | complete
Ep 187 | 드론5 목적지59 | 1000스텝 | 배송 57/59 | 재적재 11 | 중계율 0.20 | alpha 1.619 | step_limit
Ep 188 | 드론3 목적지33 |  804스텝 | 배송 33/33 | 재적재  5 | 중계율 0.18 | alpha 1.645 | complete
Ep 189 | 드론6 목적지35 |  303스텝 | 배송 35/35 | 재적재  4 | 중계율 0.10 | alpha 1.646 | complete
Ep 190 | 드론3 목적지30 |  688스텝 | 배송 30/30 | 재적재  5 | 중계율 0.20 | alpha 1.636 | complete
Ep 191 | 드론4 목적지70 | 1000스텝 | 배송 62/70 | 재적재 11 | 중계율 0.19 | alpha 1.638 | step_limit
Ep 192 | 드론5 목적지36 |  338스텝 | 배송 36/36 | 재적재  4 | 중계율 0.10 | alpha 1.654 | complete
Ep 193 | 드론3 목적지54 | 1000스텝 | 배송 47/54 | 재적재  8 | 중계율 0.22 | alpha 1.655 | step_limit
